Mần năng?,Làm sao?
Cấy ni mấy chị?,Cái này (hết) mấy (tiền) vậy chị?
Rứa à?,Thế à?
Đi mô?,Đi đâu?
Nhanh cấy cẳng lên!,Nhanh cái chân lên!
Lấy cho cái đọi.,Lấy cho cái bát.
Bao bóng.,Túi nilon.
Con du,Con dâu
Trốc,đầu
Tru,Trâu
Cân ròi,Con ruồi
Cân mọi,Con muỗi
Khòng!,Không!
Nỏ thích.,Không thích.
Cân gấy cân gớm!,Con gái con lứa!
Nhông ,Chồng
Gấy,Vợ
Chạc,Dây
 Độ (1),"Đỗ ( vào trường,...)"
Độ (2),Hạt đỗ
Bắc lên bếp,Để lên bếp (để nấu)
Tê,Kìa
Lì,Nghịch
Nghị đạ!,Nghĩ đã!
Lợ ,Lỡ
Mồm,Miệng
Toọng,Đá
Đằn,Đè
Trướt,Cút
Tớp,Đớp
Lêu khêu,Lóng nghóng
Trút,Đổ vào
Chụt kẹp,"Ý nói cái gì đó nhỏ, lép kẹp"
Mợ,Mỡ
Xách mấn,"Câu chửi tục, thể hiện sự bức xúc"
Bưng ,Vác
Mạn,Mượn
Hoọc,Học
Chạc địu,Dây chun
Su,Sâu
Ót,Gáy
Kẹt rẹt,Ki bo
Đạ nư,Vưà khéo(ý mỉa mai)
Vưa ,Vừa 
Nựa,Nữa
Chơ,Chứ
Cân khái,Con hổ
Lột,Bỏng
Rọt,Ruột
Trờng,"Sàng ( gạo, đỗ,...)"
Trớng,Trứng
Mui,Môi
Lợi,Lưỡi
Cổ tróng,Cổ họng
Lí rí,"Nhỏ, nghe không được( miêu tả giọng nói)"
Xenh,Xanh
Rau ngót,Rau bồng ngọt
Lủng,Thủng
Trệ (1),Xệ
Trệ (2),Trễ
Cây trện,Chổi quét sân
Troạc,Trầy xước
Bồông,Bế
Nhớt,
Lanh,Nhanh
Trợt,Trầy xước
Đui,Mù
Trêu ngai,Trêu chọc
Nác đấy,Nước tiểu
Cục kít,Phân
Cấy đụa,Cái/đôi đũa
Cấy vòi,Ống hút
Lọ nghẹ,"Phần cháy, tạo thành lớp đen ở đáy ngoài của nồi"
Ghen(mắt),Mủ mắt
Ri đô,Rèm cửa
Khở,Bóc 
Cọt,Còi cọc
Lạt,Nhạt
Voọc,Vượn
Nhớp,Bẩn
Trươn,Bò
Nạt,Mắng
Cân nít,Trẻ con
Xe roòng,Xe cút kít
Chọt,Đâm
Bày,Chỉ dạy
Bặn(lên dây),Bắt ngang qua( vắt đồ lên dây khi phơi quần áo)
Gù,Còng lưng
Choa,Bọn tao
Trọc,Đầu không có tóc
Sọi,Đảm đang
Sinh ghớm,Thâi độ ghê tởm với cái gì đó
Vống,Hậu đậu
Biết đàng,Hiểu chuyện
Lanh chanh,Nhanh nhảu
Lăng xăng,Nhanh nhảu
Múc,Vớt
Hoa xuyến chi,Hoa cứt lợn
Ngái,Xa
Gin,Gần
